OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,TOTPOP_CY,HHPOP_CY,FAMPOP_CY,POPDENS_CY,POPGRW10CY,TOTPOP,TOTHH,AVGHHSZ,TSPOP10_CY,TSPOP11_CY,TSPOP12_CY,TSPOP13_CY,TSPOP14_CY,TSPOP15_CY,TSPOP16_CY,TSPOP17_CY,TSPOP18_CY
79,Parkway Terrace,5,NEIGHBORHOODS,18,US,79,BlockApportionment:US.BlockGroups,2.191,2.576,1,218,182,145,4176.2,0.25,218,86,2.12,212,211,213,212,212,212,214,216,217
80,Peter Howell,6,NEIGHBORHOODS,19,US,80,BlockApportionment:US.BlockGroups,2.191,2.576,1,1861,1840,1199,3708.6,0.38,1861,854,2.15,1798,1795,1802,1808,1824,1828,1834,1833,1845
81,Pie Allen,6,NEIGHBORHOODS,20,US,81,BlockApportionment:US.BlockGroups,2.191,2.576,1,718,414,112,3910.7,0.45,718,452,1,683,685,703,708,708,717,723,727,720
82,Poets Square,6,NEIGHBORHOODS,21,US,82,BlockApportionment:US.BlockGroups,2.191,2.576,1,1114,1108,756,4365.2,-0.04,1114,481,2.3,1113,1111,1110,1111,1078,1066,1033,1032,1047
83,RillitoBend,3,NEIGHBORHOODS,22,US,83,BlockApportionment:US.BlockGroups,2.191,2.576,1,1723,1723,884,3086.7,0.23,1723,980,1.76,1682,1679,1690,1704,1713,1708,1708,1705,1714
84,Pueblo Gardens,5,NEIGHBORHOODS,23,US,84,BlockApportionment:US.BlockGroups,2.191,2.576,1,2571,2567,2175,3077.2,0.48,2571,774,3.32,2468,2488,2509,2500,2502,2519,2545,2572,2567
85,Richland Heights East,3,NEIGHBORHOODS,24,US,85,BlockApportionment:US.BlockGroups,2.191,2.576,1,578,578,339,2271.1,0.32,578,268,2.16,559,557,558,566,571,564,553,544,557
86,Richland Heights West,3,NEIGHBORHOODS,25,US,86,BlockApportionment:US.BlockGroups,2.191,2.576,1,528,508,300,2077.9,-0.26,528,262,1.94,543,549,535,521,495,499,494,507,513
87,Rillito,2,NEIGHBORHOODS,26,US,87,BlockApportionment:US.BlockGroups,2.191,2.576,1,1545,1545,1021,5134.6,0.61,1545,677,2.28,1463,1488,1501,1508,1510,1511,1514,1513,1525
88,Rincon Heights,6,NEIGHBORHOODS,27,US,88,BlockApportionment:US.BlockGroups,2.191,2.576,1,2271,2049,607,7037.5,0.51,2271,1127,1.82,2171,2162,2198,2193,2218,2232,2261,2279,2276
89,Rita Ranch,4,NEIGHBORHOODS,28,US,89,BlockApportionment:US.BlockGroups,2.191,2.576,1,17318,17291,15483,1122.9,0.81,17318,5754,3.01,15830,15891,15892,15848,15810,15944,16169,16440,16869
90,Roberts,5,NEIGHBORHOODS,29,US,90,BlockApportionment:US.BlockGroups,2.191,2.576,1,2342,2342,1830,5518.4,-0.59,2342,837,2.8,2450,2417,2410,2418,2387,2345,2305,2301,2314
91,Rose,1,NEIGHBORHOODS,0,US,91,BlockApportionment:US.BlockGroups,2.191,2.576,1,2195,2195,1880,4500.7,0.18,2195,741,2.96,2161,2156,2149,2140,2160,2187,2202,2203,2193
92,Rosemont West,6,NEIGHBORHOODS,1,US,92,BlockApportionment:US.BlockGroups,2.191,2.576,1,1593,1570,1214,4018.7,-0.19,1593,624,2.52,1641,1692,1711,1698,1648,1604,1565,1564,1576
93,Saguaro Miraflores,1,NEIGHBORHOODS,2,US,93,BlockApportionment:US.BlockGroups,2.191,2.576,1,690,684,561,2540.5,0.02,690,274,2.5,688,690,692,691,686,682,680,683,686
94,Sam Hughes,6,NEIGHBORHOODS,3,US,94,BlockApportionment:US.BlockGroups,2.191,2.576,1,4861,4814,2489,4802.9,0.23,4861,2510,1.92,4766,4771,4788,4780,4784,4774,4789,4825,4849
95,Samos,3,NEIGHBORHOODS,4,US,95,BlockApportionment:US.BlockGroups,2.191,2.576,1,1027,975,439,3890.2,-0.12,1027,425,2.29,1042,1051,1038,1031,1030,1051,1058,1052,1042
96,San Carlos,2,NEIGHBORHOODS,5,US,96,BlockApportionment:US.BlockGroups,2.191,2.576,1,186,173,120,2064.4,-0.34,186,76,2.28,191,190,191,191,189,186,184,184,184
97,San Clemente,6,NEIGHBORHOODS,6,US,97,BlockApportionment:US.BlockGroups,2.191,2.576,1,708,707,453,3683.7,0.23,708,306,2.31,691,687,688,693,686,681,669,671,681
98,San Gabriel,6,NEIGHBORHOODS,7,US,98,BlockApportionment:US.BlockGroups,2.191,2.576,1,884,882,602,3586.2,-0.27,884,428,2.06,902,880,867,861,861,860,851,860,869
99,San Ignacio Yaqui,3,NEIGHBORHOODS,8,US,99,BlockApportionment:US.BlockGroups,2.191,2.576,1,598,577,409,2547.9,0.13,598,186,3.1,591,592,592,577,565,555,567,582,596
100,Santa Cruz Southwest,1,NEIGHBORHOODS,9,US,100,BlockApportionment:US.BlockGroups,2.191,2.576,1,2922,2922,2472,3460.9,0.25,2922,939,3.11,2905,2911,2913,2892,2879,2880,2887,2894,2895
101,Santa Rita Park - West Ochoa,5,NEIGHBORHOODS,10,US,101,BlockApportionment:US.BlockGroups,2.191,2.576,1,2012,1683,1240,5040.1,0.47,2012,569,2.96,1945,1988,2019,2013,2001,2002,2006,2000,1996
102,Sewell,6,NEIGHBORHOODS,11,US,102,BlockApportionment:US.BlockGroups,2.191,2.576,1,721,705,495,1860.2,-0.82,721,304,2.32,768,758,738,727,693,691,698,710,719
103,South Harrison,4,NEIGHBORHOODS,12,US,103,BlockApportionment:US.BlockGroups,2.191,2.576,1,6496,6460,5247,3840.8,0.12,6496,2491,2.59,6386,6327,6323,6322,6330,6320,6372,6390,6442
104,South Park,5,NEIGHBORHOODS,13,US,104,BlockApportionment:US.BlockGroups,2.191,2.576,1,3679,3627,2975,2237.3,0.31,3679,1116,3.25,3600,3678,3711,3668,3640,3621,3640,3627,3641
105,Cabrini,3,NEIGHBORHOODS,14,US,105,BlockApportionment:US.BlockGroups,2.191,2.576,1,2069,2069,1228,8400.3,0.44,2069,961,2.15,1982,1978,1987,1987,1991,1993,2004,2028,2044
106,Starr Pass,1,NEIGHBORHOODS,15,US,106,BlockApportionment:US.BlockGroups,2.191,2.576,1,1813,1813,1329,585.6,0.51,1813,906,2,1722,1721,1735,1763,1770,1768,1759,1760,1774
107,Stella Mann,4,NEIGHBORHOODS,16,US,107,BlockApportionment:US.BlockGroups,2.191,2.576,1,4503,4496,3432,7308.9,0.24,4503,1612,2.79,4392,4376,4363,4394,4384,4416,4433,4476,4493
108,Sunnyside,1,NEIGHBORHOODS,17,US,108,BlockApportionment:US.BlockGroups,2.191,2.576,1,15450,15444,13659,5593.4,-0.02,15450,4606,3.35,15500,15575,15692,15728,15615,15474,15342,15361,15369
109,Sunset Villa,1,NEIGHBORHOODS,18,US,109,BlockApportionment:US.BlockGroups,2.191,2.576,1,1292,1212,977,3660.1,0.35,1292,421,2.88,1243,1240,1253,1271,1272,1284,1293,1301,1294
110,Swan Way Park,6,NEIGHBORHOODS,19,US,110,BlockApportionment:US.BlockGroups,2.191,2.576,1,1097,1097,733,4372.3,-0.41,1097,495,2.22,1135,1104,1082,1061,1076,1081,1092,1086,1089
111,Terra Del Sol,4,NEIGHBORHOODS,20,US,111,BlockApportionment:US.BlockGroups,2.191,2.576,1,4630,4614,3448,4637.9,0.26,4630,1906,2.42,4508,4439,4413,4403,4478,4508,4570,4591,4630
112,Thunderbird Heights/Wilmot Desert Esta,6,NEIGHBORHOODS,21,US,112,BlockApportionment:US.BlockGroups,2.191,2.576,1,955,941,635,3751,1.53,955,417,2.26,842,876,922,956,974,930,876,845,882
113,Tucson Park West #1,1,NEIGHBORHOODS,22,US,113,BlockApportionment:US.BlockGroups,2.191,2.576,1,1198,1198,373,8013.4,0.82,1198,569,2.11,1104,1096,1124,1163,1204,1221,1234,1237,1222
114,Vista Del Monte,2,NEIGHBORHOODS,23,US,114,BlockApportionment:US.BlockGroups,2.191,2.576,1,1662,1587,1069,5508.8,-0.14,1662,706,2.25,1682,1684,1693,1695,1679,1654,1644,1646,1654
115,Wakefield,5,NEIGHBORHOODS,24,US,115,BlockApportionment:US.BlockGroups,2.191,2.576,1,4733,4707,3924,7491.3,0.13,4733,1514,3.11,4684,4686,4707,4692,4641,4620,4585,4657,4682
116,West University,6,NEIGHBORHOODS,25,US,116,BlockApportionment:US.BlockGroups,2.191,2.576,1,4548,2570,698,9125.2,0.05,4548,1359,1.89,4540,4575,4647,4641,4602,4609,4620,4592,4557
117,Western Hills II,5,NEIGHBORHOODS,26,US,117,BlockApportionment:US.BlockGroups,2.191,2.576,1,1072,1072,918,5945.6,0.64,1072,306,3.5,1007,997,998,1000,1017,1027,1047,1057,1067
118,Wilshire Heights,6,NEIGHBORHOODS,27,US,118,BlockApportionment:US.BlockGroups,2.191,2.576,1,337,336,264,3390.3,0.98,337,133,2.53,284,300,308,309,316,324,328,326,328
119,Rancho Perdido Estates,2,NEIGHBORHOODS,28,US,119,BlockApportionment:US.BlockGroups,2.191,2.576,1,80,80,53,1694.9,2.1,80,34,2.35,71,72,74,74,74,75,77,80,81
120,Mesquite Ranch,4,NEIGHBORHOODS,29,US,120,BlockApportionment:US.BlockGroups,2.191,2.576,1,1829,1829,1555,1465.2,-0.14,1829,577,3.17,1297,1339,1386,1439,1504,1571,1645,1722,1786
121,Desert Aire/Loma Linda,6,NEIGHBORHOODS,0,US,121,BlockApportionment:US.BlockGroups,2.191,2.576,1,470,445,338,2548.8,0.05,470,178,2.5,476,497,505,501,479,464,459,467,473
122,Millville,5,NEIGHBORHOODS,1,US,122,BlockApportionment:US.BlockGroups,2.191,2.576,1,255,182,118,540.3,0,255,114,1.6,254,253,257,257,260,262,264,260,256
123,Sombras Del Cerro,1,NEIGHBORHOODS,2,US,123,BlockApportionment:US.BlockGroups,2.191,2.576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Rancho Buena,5,NEIGHBORHOODS,3,US,124,BlockApportionment:US.BlockGroups,2.191,2.576,1,4545,4545,3829,8920.5,1.19,4545,1399,3.25,4079,4113,4162,4164,4193,4153,4171,4193,4338
125,Rosemont East,6,NEIGHBORHOODS,4,US,125,BlockApportionment:US.BlockGroups,2.191,2.576,1,226,225,127,3735.5,0.64,226,126,1.79,212,212,213,222,224,227,226,228,227
126,Udall Park,2,NEIGHBORHOODS,5,US,126,BlockApportionment:US.BlockGroups,2.191,2.576,1,331,330,222,3495.2,0.68,331,181,1.82,314,320,322,319,316,316,317,324,327
127,Menlo Park,1,NEIGHBORHOODS,6,US,127,BlockApportionment:US.BlockGroups,2.191,2.576,1,4867,4504,2987,2168.9,0.79,4867,2188,2.06,4540,4521,4603,4675,4791,4814,4906,4883,4896
128,Silverbell Terrace,1,NEIGHBORHOODS,7,US,128,BlockApportionment:US.BlockGroups,2.191,2.576,1,163,163,122,3292.9,1.27,163,60,2.72,148,155,158,158,156,155,155,156,159
129,Broadway Pantano East,2,NEIGHBORHOODS,8,US,129,BlockApportionment:US.BlockGroups,2.191,2.576,1,5698,5672,4081,5712.9,0.74,5698,2530,2.24,5326,5365,5328,5309,5285,5281,5327,5353,5514
130,Miles,5,NEIGHBORHOODS,9,US,130,BlockApportionment:US.BlockGroups,2.191,2.576,1,871,870,449,4836.2,0.55,871,367,2.37,830,833,836,833,837,844,853,869,872
131,Sierra Estates,5,NEIGHBORHOODS,10,US,131,BlockApportionment:US.BlockGroups,2.191,2.576,1,80,80,43,2826.9,-0.13,80,42,1.9,80,78,77,77,77,77,80,80,81
132,Silvercroft,1,NEIGHBORHOODS,11,US,132,BlockApportionment:US.BlockGroups,2.191,2.576,1,329,328,267,3323.2,-0.2,329,105,3.12,336,339,338,338,339,345,345,340,333
133,Brichta,1,NEIGHBORHOODS,12,US,133,BlockApportionment:US.BlockGroups,2.191,2.576,1,491,482,368,2726.3,0.54,491,199,2.42,467,468,469,469,469,472,477,481,486
134,Cherry Avenue,5,NEIGHBORHOODS,13,US,134,BlockApportionment:US.BlockGroups,2.191,2.576,1,10092,10090,8853,8087.2,0.71,10092,3051,3.31,9473,9552,9658,9717,9781,9637,9490,9564,9813
135,Fairgrounds,5,NEIGHBORHOODS,14,US,135,BlockApportionment:US.BlockGroups,2.191,2.576,1,2284,2222,1884,3246.2,0.42,2284,689,3.22,2200,2200,2201,2191,2227,2267,2313,2294,2280
136,Bravo Park Lane,5,NEIGHBORHOODS,15,US,136,BlockApportionment:US.BlockGroups,2.191,2.576,1,3611,3598,3035,6097.6,1.08,3611,1129,3.19,3284,3321,3356,3304,3316,3295,3332,3403,3499
137,Feldman`s,3,NEIGHBORHOODS,16,US,137,BlockApportionment:US.BlockGroups,2.191,2.576,1,2524,2279,605,7375.8,0.57,2524,1203,1.89,2415,2456,2483,2504,2503,2518,2517,2508,2509
138,Sugar Hill,3,NEIGHBORHOODS,17,US,138,BlockApportionment:US.BlockGroups,2.191,2.576,1,1642,1611,802,5206.1,0.97,1642,610,2.64,1510,1538,1565,1584,1590,1582,1587,1587,1610
139,Toumey Park,6,NEIGHBORHOODS,18,US,139,BlockApportionment:US.BlockGroups,2.191,2.576,1,2374,2276,1723,8676.9,0.71,2374,841,2.71,2244,2315,2347,2346,2336,2347,2353,2359,2362
140,El Encanto Estates,6,NEIGHBORHOODS,19,US,140,BlockApportionment:US.BlockGroups,2.191,2.576,1,333,332,180,1750.8,0.2,333,147,2.26,328,328,326,324,322,321,322,324,328
141,Colonia Solana,6,NEIGHBORHOODS,20,US,141,BlockApportionment:US.BlockGroups,2.191,2.576,1,284,284,203,1126.5,0.43,284,129,2.2,273,274,276,277,278,277,276,276,278
142,Winterhaven,3,NEIGHBORHOODS,21,US,142,BlockApportionment:US.BlockGroups,2.191,2.576,1,596,594,377,4613,0.64,596,283,2.1,564,571,579,583,593,595,596,592,592
143,Barrio Kroeger Lane,1,NEIGHBORHOODS,22,US,143,BlockApportionment:US.BlockGroups,2.191,2.576,1,268,80,61,3138.2,0.37,268,102,1,256,256,265,268,267,268,268,268,267
144,Palo Verde Park,2,NEIGHBORHOODS,23,US,144,BlockApportionment:US.BlockGroups,2.191,2.576,1,4164,4152,3258,4168.2,0.08,4164,1624,2.56,4142,4154,4149,4124,4109,4073,4029,4041,4091
145,Aldea Linda,6,NEIGHBORHOODS,24,US,145,BlockApportionment:US.BlockGroups,2.191,2.576,1,222,210,159,2799.5,0.05,222,88,2.39,224,234,238,236,226,219,216,220,223
146,St. Cyrils,6,NEIGHBORHOODS,25,US,146,BlockApportionment:US.BlockGroups,2.191,2.576,1,2345,2137,1357,5374.7,0.74,2345,1039,2.06,2208,2278,2315,2289,2253,2251,2272,2303,2319
147,Arcadia Rose,6,NEIGHBORHOODS,26,US,147,BlockApportionment:US.BlockGroups,2.191,2.576,1,389,363,230,6264.1,0.54,389,209,1.74,370,365,362,358,355,355,365,376,385
148,Saguaro Canyon,4,NEIGHBORHOODS,27,US,148,BlockApportionment:US.BlockGroups,2.191,2.576,1,644,644,572,5210.4,-0.07,644,229,2.81,528,545,558,566,576,586,596,608,624
149,Barrio Nopal,1,NEIGHBORHOODS,28,US,149,BlockApportionment:US.BlockGroups,2.191,2.576,1,6018,6018,5299,6200.9,0.7,6018,1745,3.45,5653,5692,5747,5834,5924,5937,5916,5915,5975
150,Santiago Hills,1,NEIGHBORHOODS,29,US,150,BlockApportionment:US.BlockGroups,2.191,2.576,1,905,889,646,3271.9,0.11,905,426,2.09,915,958,979,969,959,936,919,909,906
151,Coronado Heights,3,NEIGHBORHOODS,0,US,151,BlockApportionment:US.BlockGroups,2.191,2.576,1,1611,1611,1064,9226.8,-0.28,1611,682,2.36,1645,1640,1638,1652,1631,1598,1596,1595,1618
152,Harold Bell Wright Estates,2,NEIGHBORHOODS,1,US,152,BlockApportionment:US.BlockGroups,2.191,2.576,1,979,913,591,4067.3,1.97,979,483,1.89,902,905,912,909,955,1047,1047,1007,936
153,Carriage Park,2,NEIGHBORHOODS,2,US,153,BlockApportionment:US.BlockGroups,2.191,2.576,1,7262,7223,4440,7255.5,0.47,7262,3827,1.89,6985,7086,7198,7246,7292,7299,7273,7209,7186
154,Copper Vista,5,NEIGHBORHOODS,3,US,154,BlockApportionment:US.BlockGroups,2.191,2.576,1,2401,2394,2109,9933.8,0.31,2401,714,3.35,2328,2295,2298,2270,2283,2301,2375,2399,2402
155,West Lamar City Acres,5,NEIGHBORHOODS,4,US,155,BlockApportionment:US.BlockGroups,2.191,2.576,1,379,379,327,2521.6,-0.36,379,121,3.13,390,381,376,373,378,379,378,374,375
156,Loma Verde,6,NEIGHBORHOODS,5,US,156,BlockApportionment:US.BlockGroups,2.191,2.576,1,488,480,349,4939.3,-0.26,488,233,2.06,486,489,482,478,465,468,473,478,483
157,Downtown,1,NEIGHBORHOODS,6,US,157,BlockApportionment:US.BlockGroups,2.191,2.576,1,152,141,25,448.2,2.41,152,111,1.27,125,137,143,145,144,145,148,151,152
158,Barrio Santa Cruz,1,NEIGHBORHOODS,7,US,158,BlockApportionment:US.BlockGroups,2.191,2.576,1,214,145,105,1363.1,0.68,214,64,2.27,197,195,198,206,209,215,215,214,213
159,Bonanza,2,NEIGHBORHOODS,8,US,159,BlockApportionment:US.BlockGroups,2.191,2.576,1,5123,5103,3796,5100,0.16,5123,2319,2.2,5053,5096,5117,5146,5146,5166,5133,5091,5076
